Classifier,Gen Score,Test Score,Time
XGBoost,0.8416,0.8320000000000001,2.9111993312835693
XGBoost RF,0.8304,0.8264000000000001,4.806577682495117
Random Forest,0.8144,0.8216000000000001,4.193693161010742
SVM,0.8256,0.812,0.2682497501373291
Logistic Regression,0.7552,0.7687999999999999,6.495859622955322
MLP,0.7912,0.7656,13.336503267288208
Decision Tree,0.728,0.748,0.7354602813720703
KNN,0.7496,0.7352,0.06979227066040039
Naive Bayes,0.7496,0.7255999999999999,0.015853166580200195
AdaBoost,0.584,0.42400000000000004,6.0629799365997314
