Classifier,Gen Score,Test Score,Time
KNN,0.7146666666666667,0.7173333333333334,0.05224156379699707
SVM,0.8413333333333334,0.8346666666666666,0.3079984188079834
Naive Bayes,0.7386666666666667,0.756,0.023969173431396484
Decision Tree,0.7546666666666667,0.7486666666666666,0.5454320907592773
Logistic Regression,0.8053333333333333,0.8033333333333333,5.770297050476074
Random Forest,0.848,0.8526666666666667,4.00341272354126
AdaBoost,0.518,0.4526666666666667,4.126096725463867
MLP,0.844,0.8640000000000001,6.723970890045166
XGBoost,0.8746666666666667,0.8640000000000001,2.6149778366088867
XGBoost RF,0.848,0.842,4.645998477935791
