Classifier,Gen Score,Test Score,Time
SVM,0.8824,0.8960000000000001,0.5114617347717285
Random Forest,0.8744,0.8904000000000002,6.180601119995117
XGBoost,0.8872,0.8888000000000001,10.877851009368896
XGBoost RF,0.8688,0.8824,20.654409885406494
MLP,0.8592,0.8568,9.72252106666565
Naive Bayes,0.8328,0.8552,0.0458219051361084
Logistic Regression,0.852,0.8368,6.2507898807525635
Decision Tree,0.8112,0.8136000000000001,0.9270310401916504
KNN,0.7592,0.7992,0.2230379581451416
AdaBoost,0.3968,0.3816,8.73417615890503
