Classifier,Gen Score,Test Score,Time
SVM,0.8952,0.8968000000000002,0.6046390533447266
XGBoost,0.8784,0.8896000000000001,11.524715662002563
Random Forest,0.8888,0.8800000000000001,6.9430577754974365
XGBoost RF,0.864,0.8784000000000001,20.494072198867798
MLP,0.8568,0.876,9.011552095413208
Naive Bayes,0.836,0.8408,0.05378985404968262
Logistic Regression,0.8384,0.8288,9.056672096252441
Decision Tree,0.7848,0.8128,1.1096889972686768
KNN,0.8024,0.792,0.2379288673400879
AdaBoost,0.4104,0.3992,9.405894041061401
